city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
New York,New York,NY,New York,36081,Queens,40.6943,-73.9249
Los Angeles,Los Angeles,CA,California,6037,Los Angeles,34.1141,-118.4068
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866
Miami,Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2101
Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885
Dallas,Dallas,TX,Texas,48113,Dallas,32.7935,-96.7667
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.422
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0892
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7558,-122.4449
San Diego,San Diego,CA,California,6073,San Diego,32.8313,-117.1222
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678
Tampa,Tampa,FL,Florida,12057,Hillsborough,27.9945,-82.4447
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496
Denver,Denver,CO,Colorado,8031,Denver,39.762,-104.8758
Queens,Queens,NY,New York,36081,Queens,40.7498,-73.7976
Riverside,Riverside,CA,California,6065,Riverside,33.9381,-117.3949
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144
St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451
Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65
San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5677,-121.4685
Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522
Orlando,Orlando,FL,Florida,12095,Orange,28.4773,-81.337
San Juan,San Juan,PR,Puerto Rico,72127,San Juan,18.3985,-66.061
San Jose,San Jose,CA,California,6085,Santa Clara,37.3012,-121.848
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458
Manhattan,Manhattan,NY,New York,36061,New York,40.7834,-73.9662
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855
Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675
Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake,40.7776,-111.9311
Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429
Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136
Hartford,Hartford,CT,Connecticut,9110,Capitol,41.7661,-72.6834
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485
Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487
New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7817,-97.3474
Bridgeport,Bridgeport,CT,Connecticut,9120,Greater Bridgeport,41.1918,-73.1954
Tucson,Tucson,AZ,Arizona,4019,Pima,32.1541,-110.8787
El Paso,El Paso,TX,Texas,48141,El Paso,31.8476,-106.43
Omaha,Omaha,NE,Nebraska,31055,Douglas,41.2627,-96.0529
McAllen,McAllen,TX,Texas,48215,Hidalgo,26.2252,-98.2467
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465
Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa,36.1283,-95.9042
Fresno,Fresno,CA,California,6019,Fresno,36.783,-119.7939
Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687
Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162
Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7805,-84.2003
Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957
Mission Viejo,Mission Viejo,CA,California,6059,Orange,33.6096,-117.6551
Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7605
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.442,-91.1311
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756
Ogden,Ogden,UT,Utah,49057,Weber,41.2279,-111.9682
Provo,Provo,UT,Utah,49049,Utah,40.2457,-111.6457
Knoxville,Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9619,-85.6562
Columbia,Columbia,SC,South Carolina,45079,Richland,34.0378,-80.9036
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987
Bakersfield,Bakersfield,CA,California,6029,Kern,35.3529,-119.0359
